from_name,message,created_time,link,likes_count,comments_count,shares_count,title,Date,Time,z_like,z_comments,z_share
TEEPR 趣味新聞,好棒！,2016-12-20T06:00:140000,http://www.teepr.com/617415/jonhsieh/%e9%bc%8e%e6%b3%b0%e8%b1%90%e5%ae%a3%e5%b8%83%e5%85%a8%e5%8f%b010%e5%88%86%e5%ba%97%e9%81%8e%e5%b9%b4%e4%bc%91%e5%ba%97/,12907,122,354,為了讓員工回家過年「損失千萬」，鼎泰豐宣布全台10分店「除夕、初一暫停營業」！,1220,60014,0.797014989,0.266586663,0.009570543
TEEPR 趣味新聞,全世界男人都哭泣了,2016-12-20T05:00:110000,http://www.teepr.com/617362/angelpan/%e7%91%aa%e6%a0%bc%e7%be%85%e6%af%94%e5%ae%8c%e5%a9%9a/,6526,16,97,「小丑女」瑪格羅比驚爆「秘密辦婚禮」美到炸！老公是最完美的男人！,1220,50011,-0.030931261,-0.493510101,-0.439643698
TEEPR 趣味新聞,太潮了？！,2016-12-20T04:30:220000,http://www.teepr.com/612631/sharonlian/%e5%85%92%e5%ad%90%e5%89%aa%e9%a0%ad%e9%ab%ae%e5%be%8c%e8%80%81%e7%88%b8%e5%a4%b1%e6%a5%ad/,4399,18,62,他們幫兒子剪的髮型太潮，結果老爸就因此失業了…,1220,43022,-0.306913345,-0.479168653,-0.500820734
TEEPR 趣味新聞,影片真的恐怖...(慎入),2016-12-20T04:00:110000,http://www.teepr.com/617353/jonhsieh/%e4%bf%84%e5%9c%8b%e9%a7%90%e5%9c%9f%e8%80%b3%e5%85%b6%e5%a4%a7%e4%bd%bf%e9%81%ad%e5%b0%84%e6%ae%ba/,9691,108,434,新聞：俄國大使在眾人面前被射殺，兇手是22歲警察！（刺殺影片）,1220,40011,0.379733193,0.166196525,0.149403769
TEEPR 趣味新聞,最自然的顏料！,2016-12-20T03:00:380000,http://www.teepr.com/616104/juliewu/28%e5%80%8b%e8%b6%85%e7%8b%82%e8%90%bd%e8%91%89%e8%97%9d%e8%a1%93%e5%93%81/,13326,38,666,28個證明日本人94狂的「超美落葉藝術品」，#11皮卡丘超Q的！,1220,30038,0.851380994,-0.335754169,0.554920126
TEEPR 趣味新聞,這教育太恐怖了吧？,2016-12-20T02:00:500000,http://www.teepr.com/616862/jonhsieh/%e6%9c%a8%e6%9d%91%e6%8b%93%e5%93%89%e5%a4%a7%e5%a5%b3%e5%85%92%e8%88%87%e4%b8%96%e9%9a%94%e7%b5%95/,3641,9,40,木村拓哉15歲的大女兒被爆料「被管很兇」！只能用古董PHS手機還不是最慘的。,1220,20050,-0.405265211,-0.543705171,-0.539274872
TEEPR 趣味新聞,我們已經走進未來了,2016-12-20T01:00:510000,http://www.teepr.com/617033/sharonlian/%e6%88%91%e5%80%91%e5%b7%b2%e7%b6%93%e6%b4%bb%e5%9c%a8%e6%9c%aa%e4%be%86/,3938,7,374,22張證明「我們已經活在未來」的不可能照片。#18讓你覺得自己超老！,1220,10051,-0.366728926,-0.558046619,0.044528849
TEEPR 趣味新聞,原因很明顯,2016-12-20T00:00:550000,http://www.teepr.com/523458/juliewu/18%e5%80%8b%e7%94%b7%e5%a5%b3%e7%94%9f%e7%9a%84%e5%b7%ae%e5%88%a5/,12970,66,562,18張照片證明男生女生要一樣真的比登天還難！#11就是為什麼女生常常被男生氣死的原因。,1220,55,0.805189353,-0.134973891,0.373136932
TEEPR 趣味新聞,海底補妝！,2016-12-19T23:01:070000,http://www.teepr.com/524348/juliewu/%e6%94%9d%e5%bd%b1%e5%b8%ab%e5%9c%a8%e6%b0%b4%e5%ba%95%e6%8d%95%e6%8d%89%e7%be%8e%e9%ba%97%e7%9a%84%e5%a9%9a%e7%b4%97%e7%85%a7/,10408,74,882,10張會讓大多數夫妻想要重拍婚紗照的「真正完美海底婚紗照」。在海底補妝那張美到不行了！,1219,230107,0.472765235,-0.077608098,0.932469838
TEEPR 趣味新聞,可以嗎？！,2016-12-19T18:01:180000,http://www.teepr.com/523686/juliewu/%e4%bb%96%e6%8a%8a%e6%b1%bd%e8%bb%8a%e8%bc%aa%e8%83%8e%e6%8f%9b%e6%88%90%e8%85%b3%e8%b8%8f%e8%bb%8a%e8%bc%aa%e8%83%8e%e5%81%9a%e5%af%a6%e9%a9%97%ef%bc%8c%e6%98%af%e5%90%a6%e8%83%bd%e6%89%bf%e5%8f%97/,3354,15,118,他把汽車輪胎改成腳踏車輪胎想知道有沒有辦法行駛，當發動開始前進時…！,1219,180118,-0.442503978,-0.500680825,-0.402937476
TEEPR 趣味新聞,好霸氣的雞,2016-12-19T17:01:220000,http://www.teepr.com/521787/juliewu/%e5%85%ac%e9%9b%9e%e7%82%ba%e4%ba%86%e8%83%bd%e8%b5%b0%e8%b7%af%e6%8a%8a%e8%87%aa%e5%b7%b1%e7%9a%84%e8%85%b3%e7%88%aa%e7%b5%a6%e5%95%84%e6%8e%89/,2913,29,86,霸氣公雞把自己的左腳爪給殘忍啄掉，看他走路模樣才發現「這是雞神」！,1219,170122,-0.499724523,-0.400290687,-0.458870766
TEEPR 趣味新聞,看得超紓壓～,2016-12-19T16:01:260000,http://www.teepr.com/616479/edwardliu/%e6%a5%b5%e5%93%81%e5%a4%a7%e7%90%86%e7%9f%b3%e8%9b%8b%e7%b3%95/,6287,41,363,30幾個光看就比按摩還爽的「極品大理石蛋糕」。,1219,160126,-0.061941942,-0.314241996,0.025301781
TEEPR 趣味新聞,感覺有點可惡,2016-12-19T15:40:160000,http://www.teepr.com/617062/jonhsieh/%e5%8f%b2%e4%b8%8a%e6%9c%80%e6%81%90%e6%80%96%e7%9a%84%e8%b1%ac%e9%a0%ad%e4%ba%a4%e6%8f%9b%e7%a6%ae%e7%89%a9/,714,12,19,史上最恐怖的「交換禮物」，抽到的人還一定得「親下去」…,1219,154016,-0.785048736,-0.522192998,-0.575981094
TEEPR 趣味新聞,這法官太棒了！,2016-12-19T15:20:160000,http://www.teepr.com/617126/cindyleung/%e5%bf%83%e7%90%86%e5%89%b5%e5%82%b7%e9%80%80%e4%bc%8d%e8%bb%8d%e4%ba%ba%e8%83%8c%e5%8f%9b%e9%97%9c%e7%9b%a3%e7%8d%84%ef%bc%8c%e6%99%9a%e4%b8%8a%e6%8b%8d%e5%88%b0%e3%80%8c%e6%b3%95%e5%ae%98%e6%82%84/,1104,5,0,心理創傷退伍軍人被叛關監獄，晚上拍到「法官悄悄的去他牢房」超感人！,1219,152016,-0.734445534,-0.572388067,-0.609191485
TEEPR 趣味新聞,很棒的一對情侶！,2016-12-19T15:01:020000,http://www.teepr.com/616750/cindyleung/%e9%83%ad%e6%9b%b8%e7%91%a4%e7%8f%be%e5%9c%a8%e3%80%8c%e4%b8%8d%e6%89%93%e7%ae%97%e7%b5%90%e5%a9%9a%e3%80%8d%e5%ab%81%e7%b5%a6%e4%ba%a4%e5%be%804%e5%b9%b4%e7%9a%84%e9%87%91%e9%99%bd%e5%8e%9f%e5%9b%a0/,3893,4,19,郭書瑤現在「不打算結婚」嫁給交往4年的金陽原因曝光！她坦白：「沒有把握…」,1219,150102,-0.372567757,-0.579558791,-0.575981094
TEEPR 趣味新聞,死的應該要是他？,2016-12-19T14:45:160000,http://www.teepr.com/616959/sharonlian/%e5%b7%b4%e8%a5%bf%e8%b6%b3%e7%90%83%e9%9a%8a%e7%a9%ba%e9%9b%a3%e5%80%96%e5%ad%98%e7%90%83%e5%93%a1%e9%a6%96%e4%ba%a4%e4%bb%a3%e7%95%b6%e6%99%82%e7%9c%9f%e7%9b%b8%ef%bc%8c%e6%b4%bb%e4%b8%8b%e4%be%86/,17767,36,422,巴西足球隊空難倖存球員首交代當時真相，活下來只因「最後一刻換了座位」，還爆「機師貪婪惹的禍」,1219,144516,1.427608749,-0.350095617,0.128428785
TEEPR 趣味新聞,大家次數要控制好啊,2016-12-19T14:30:330000,http://www.teepr.com/616872/cindyleung/%e6%b8%af%e7%94%b7%e4%b8%ad%e5%ad%b8%e9%96%8b%e5%a7%8b%e6%b2%89%e8%bf%b7%e6%89%8b%e6%b7%ab%ef%bc%8c%e6%af%8f%e5%a4%a95%e6%ac%a1%e3%80%8c%e9%9b%9e%e9%9b%9e%e6%95%85%e9%9a%9c%e3%80%8d%ef%bc%81/,3075,243,136,港男中學開始沉迷手淫，每天5次「雞雞故障」！,1219,143033,-0.478704731,1.134244291,-0.371475
